position,positionText,points,wins,driverId,permanentNumber,code,url,givenName,familyName,dateOfBirth,nationality,constructorId,cons_url,cons_name,cons_nationality
1,1,102,9,michael_schumacher,,MSC,http://en.wikipedia.org/wiki/Michael_Schumacher,Michael,Schumacher,1969-01-03,German,benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
2,2,69,4,damon_hill,,,http://en.wikipedia.org/wiki/Damon_Hill,Damon,Hill,1960-09-17,British,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
3,3,49,1,coulthard,,COU,http://en.wikipedia.org/wiki/David_Coulthard,David,Coulthard,1971-03-27,British,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
4,4,45,2,herbert,,,http://en.wikipedia.org/wiki/Johnny_Herbert,Johnny,Herbert,1964-06-25,British,benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
5,5,42,1,alesi,,,http://en.wikipedia.org/wiki/Jean_Alesi,Jean,Alesi,1964-06-11,French,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
6,6,31,0,berger,,,http://en.wikipedia.org/wiki/Gerhard_Berger,Gerhard,Berger,1959-08-27,Austrian,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
7,7,17,0,hakkinen,,,http://en.wikipedia.org/wiki/Mika_H%C3%A4kkinen,Mika,Häkkinen,1968-09-28,Finnish,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
8,8,16,0,panis,,,http://en.wikipedia.org/wiki/Olivier_Panis,Olivier,Panis,1966-09-02,French,ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French
9,9,15,0,frentzen,,,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen,Heinz-Harald,Frentzen,1967-05-18,German,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
10,10,13,0,blundell,,,http://en.wikipedia.org/wiki/Mark_Blundell,Mark,Blundell,1966-04-08,British,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
11,11,11,0,barrichello,,BAR,http://en.wikipedia.org/wiki/Rubens_Barrichello,Rubens,Barrichello,1972-05-23,Brazilian,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
12,12,10,0,irvine,,,http://en.wikipedia.org/wiki/Eddie_Irvine,Eddie,Irvine,1965-11-10,British,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
13,13,7,0,brundle,,,http://en.wikipedia.org/wiki/Martin_Brundle,Martin,Brundle,1959-06-01,British,ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French
14,14,5,0,morbidelli,,,http://en.wikipedia.org/wiki/Gianni_Morbidelli,Gianni,Morbidelli,1968-01-13,Italian,footwork,http://en.wikipedia.org/wiki/Footwork_Arrows,Footwork,British
15,15,5,0,salo,,,http://en.wikipedia.org/wiki/Mika_Salo,Mika,Salo,1966-11-30,Finnish,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
16,16,3,0,boullion,,,http://en.wikipedia.org/wiki/Jean-Christophe_Boullion,Jean-Christophe,Boullion,1969-12-27,French,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
17,17,1,0,suzuki,,,http://en.wikipedia.org/wiki/Aguri_Suzuki,Aguri,Suzuki,1960-09-08,Japanese,ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French
18,18,1,0,lamy,,,http://en.wikipedia.org/wiki/Pedro_Lamy,Pedro,Lamy,1972-03-20,Portuguese,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
,-,0,0,martini,,,http://en.wikipedia.org/wiki/Pierluigi_Martini,Pierluigi,Martini,1961-04-23,Italian,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
,-,0,0,katayama,,,http://en.wikipedia.org/wiki/Ukyo_Katayama,Ukyo,Katayama,1963-05-29,Japanese,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
,-,0,0,diniz,,,http://en.wikipedia.org/wiki/Pedro_Diniz,Pedro,Diniz,1970-05-22,Brazilian,forti,http://en.wikipedia.org/wiki/Forti,Forti,Italian
,-,0,0,papis,,,http://en.wikipedia.org/wiki/Massimiliano_Papis,Massimiliano,Papis,1969-10-03,Italian,footwork,http://en.wikipedia.org/wiki/Footwork_Arrows,Footwork,British
,-,0,0,badoer,,BAD,http://en.wikipedia.org/wiki/Luca_Badoer,Luca,Badoer,1971-01-25,Italian,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
,-,0,0,inoue,,,http://en.wikipedia.org/wiki/Taki_Inoue,Taki,Inoue,1963-09-05,Japanese,footwork,http://en.wikipedia.org/wiki/Footwork_Arrows,Footwork,British
,-,0,0,montermini,,,http://en.wikipedia.org/wiki/Andrea_Montermini,Andrea,Montermini,1964-05-30,Italian,pacific,http://en.wikipedia.org/wiki/Pacific_Racing,Pacific,British
,-,0,0,gachot,,,http://en.wikipedia.org/wiki/Bertrand_Gachot,Bertrand,Gachot,1962-12-23,Belgian,pacific,http://en.wikipedia.org/wiki/Pacific_Racing,Pacific,British
,-,0,0,schiattarella,,,http://en.wikipedia.org/wiki/Domenico_Schiattarella,Domenico,Schiattarella,1967-11-17,Italian,simtek,http://en.wikipedia.org/wiki/Simtek,Simtek,British
,-,0,0,wendlinger,,,http://en.wikipedia.org/wiki/Karl_Wendlinger,Karl,Wendlinger,1968-12-20,Austrian,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
,-,0,0,mansell,,,http://en.wikipedia.org/wiki/Nigel_Mansell,Nigel,Mansell,1953-08-08,British,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
,-,0,0,magnussen,,MAG,http://en.wikipedia.org/wiki/Jan_Magnussen,Jan,Magnussen,1973-07-04,Danish,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
