position,positionText,points,wins,driverId,permanentNumber,code,url,givenName,familyName,dateOfBirth,nationality,constructorId,cons_url,cons_name,cons_nationality
1,1,45,5,rindt,,,http://en.wikipedia.org/wiki/Jochen_Rindt,Jochen,Rindt,1942-04-18,Austrian,team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
2,2,40,3,ickx,,,http://en.wikipedia.org/wiki/Jacky_Ickx,Jacky,Ickx,1945-01-01,Belgian,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
3,3,33,1,regazzoni,,,http://en.wikipedia.org/wiki/Clay_Regazzoni,Clay,Regazzoni,1939-09-05,Swiss,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
4,4,27,0,hulme,,,http://en.wikipedia.org/wiki/Denny_Hulme,Denny,Hulme,1936-06-18,New Zealander,mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British
5,5,25,1,stewart,,,http://en.wikipedia.org/wiki/Jackie_Stewart,Jackie,Stewart,1939-06-11,British,march,http://en.wikipedia.org/wiki/March_Engineering,March,British
6,6,25,1,jack_brabham,,,http://en.wikipedia.org/wiki/Jack_Brabham,Jack,Brabham,1926-04-02,Australian,brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
7,7,23,1,rodriguez,,,http://en.wikipedia.org/wiki/Pedro_Rodr%C3%ADguez_(racing_driver),Pedro,Rodríguez,1940-01-18,Mexican,brm,http://en.wikipedia.org/wiki/BRM,BRM,British
8,8,23,0,amon,,,http://en.wikipedia.org/wiki/Chris_Amon,Chris,Amon,1943-07-20,New Zealander,march,http://en.wikipedia.org/wiki/March_Engineering,March,British
9,9,16,0,beltoise,,,http://en.wikipedia.org/wiki/Jean-Pierre_Beltoise,Jean-Pierre,Beltoise,1937-04-26,French,matra,http://en.wikipedia.org/wiki/Matra,Matra,French
10,10,12,1,emerson_fittipaldi,,,http://en.wikipedia.org/wiki/Emerson_Fittipaldi,Emerson,Fittipaldi,1946-12-12,Brazilian,team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
11,11,10,0,stommelen,,,http://en.wikipedia.org/wiki/Rolf_Stommelen,Rolf,Stommelen,1943-07-11,German,brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
12,12,8,0,pescarolo,,,http://en.wikipedia.org/wiki/Henri_Pescarolo,Henri,Pescarolo,1942-09-25,French,matra,http://en.wikipedia.org/wiki/Matra,Matra,French
13,13,7,0,hill,,,http://en.wikipedia.org/wiki/Graham_Hill,Graham,Hill,1929-02-15,British,team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
14,14,6,0,mclaren,,,http://en.wikipedia.org/wiki/Bruce_McLaren,Bruce,McLaren,1937-08-30,New Zealander,mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British
15,15,4,0,wisell,,,http://en.wikipedia.org/wiki/Reine_Wisell,Reine,Wisell,1941-09-30,Swedish,team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
16,16,4,0,mario_andretti,,,http://en.wikipedia.org/wiki/Mario_Andretti,Mario,Andretti,1940-02-28,American,march,http://en.wikipedia.org/wiki/March_Engineering,March,British
17,17,3,0,giunti,,,http://en.wikipedia.org/wiki/Ignazio_Giunti,Ignazio,Giunti,1941-08-30,Italian,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
18,18,3,0,surtees,,,http://en.wikipedia.org/wiki/John_Surtees,John,Surtees,1934-02-11,British,mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British
19,19,2,0,miles,,,http://en.wikipedia.org/wiki/John_Miles_(auto_racer),John,Miles,1943-06-14,British,team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
20,20,2,0,oliver,,,http://en.wikipedia.org/wiki/Jackie_Oliver,Jackie,Oliver,1942-08-14,British,brm,http://en.wikipedia.org/wiki/BRM,BRM,British
21,21,2,0,gavin,,,http://en.wikipedia.org/wiki/Johnny_Servoz-Gavin,Johnny,Servoz-Gavin,1942-01-18,French,march,http://en.wikipedia.org/wiki/March_Engineering,March,British
22,22,1,0,cevert,,,http://en.wikipedia.org/wiki/Fran%C3%A7ois_Cevert,François,Cevert,1944-02-25,French,march,http://en.wikipedia.org/wiki/March_Engineering,March,British
23,23,1,0,gethin,,,http://en.wikipedia.org/wiki/Peter_Gethin,Peter,Gethin,1940-02-21,British,mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British
24,24,1,0,gurney,,,http://en.wikipedia.org/wiki/Dan_Gurney,Dan,Gurney,1931-04-13,American,mclaren-ford,http://en.wikipedia.org/wiki/Team_McLaren,McLaren-Ford,British
25,25,1,0,bell,,,http://en.wikipedia.org/wiki/Derek_Bell_(auto_racer),Derek,Bell,1941-10-31,British,brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
,-,0,0,siffert,,,http://en.wikipedia.org/wiki/Jo_Siffert,Jo,Siffert,1936-07-07,Swiss,march,http://en.wikipedia.org/wiki/March_Engineering,March,British
,-,0,0,peterson,,,http://en.wikipedia.org/wiki/Ronnie_Peterson,Ronnie,Peterson,1944-02-14,Swedish,march,http://en.wikipedia.org/wiki/March_Engineering,March,British
,-,0,0,adamich,,,http://en.wikipedia.org/wiki/Andrea_de_Adamich,Andrea,de Adamich,1941-10-03,Italian,mclaren-alfa_romeo,http://en.wikipedia.org/wiki/McLaren_(racing),McLaren-Alfa Romeo,British
,-,0,0,love,,,http://en.wikipedia.org/wiki/John_Love_(racing_driver),John,Love,1924-12-07,Rhodesian,team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
,-,0,0,eaton,,,http://en.wikipedia.org/wiki/George_Eaton,George,Eaton,1945-11-12,Canadian,brm,http://en.wikipedia.org/wiki/BRM,BRM,British
