position,positionText,points,wins,driverId,permanentNumber,code,url,givenName,familyName,dateOfBirth,nationality,constructorId,cons_url,cons_name,cons_nationality
1,1,40,4,fangio,,,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio,Juan,Fangio,1911-06-24,Argentine,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
2,2,23,1,moss,,,http://en.wikipedia.org/wiki/Stirling_Moss,Stirling,Moss,1929-09-17,British,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
3,3,12,0,castellotti,,,http://en.wikipedia.org/wiki/Eugenio_Castellotti,Eugenio,Castellotti,1930-10-10,Italian,lancia,http://en.wikipedia.org/wiki/Lancia_in_Formula_One,Lancia,Italian
4,4,10,1,trintignant,,,http://en.wikipedia.org/wiki/Maurice_Trintignant,Maurice,Trintignant,1917-10-30,French,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
5,5,9,0,farina,,,http://en.wikipedia.org/wiki/Nino_Farina,Nino,Farina,1906-10-30,Italian,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
6,6,9,0,taruffi,,,http://en.wikipedia.org/wiki/Piero_Taruffi,Piero,Taruffi,1906-10-12,Italian,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
7,7,8,1,sweikert,,,http://en.wikipedia.org/wiki/Bob_Sweikert,Bob,Sweikert,1926-05-20,American,kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American
8,8,7,0,mieres,,,http://en.wikipedia.org/wiki/Roberto_Mieres,Roberto,Mieres,1924-12-03,Argentine,maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian
9,9,6,0,behra,,,http://en.wikipedia.org/wiki/Jean_Behra,Jean,Behra,1921-02-16,French,maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian
10,10,6,0,musso,,,http://en.wikipedia.org/wiki/Luigi_Musso,Luigi,Musso,1924-07-28,Italian,maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian
11,11,5,0,kling,,,http://en.wikipedia.org/wiki/Karl_Kling,Karl,Kling,1910-09-16,German,mercedes,http://en.wikipedia.org/wiki/Mercedes-Benz_in_Formula_One,Mercedes,German
12,12,4,0,davies,,,http://en.wikipedia.org/wiki/Jimmy_Davies,Jimmy,Davies,1929-08-08,American,kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American
13,13,3,0,bettenhausen,,,http://en.wikipedia.org/wiki/Tony_Bettenhausen,Tony,Bettenhausen,1916-09-12,American,kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American
14,14,3,0,paul_russo,,,http://en.wikipedia.org/wiki/Paul_Russo,Paul,Russo,1914-04-10,American,kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American
15,15,3,0,frere,,,http://en.wikipedia.org/wiki/Paul_Fr%C3%A8re,Paul,Frère,1917-01-30,Belgian,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
