position,positionText,points,wins,driverId,permanentNumber,code,url,givenName,familyName,dateOfBirth,nationality,constructorId,cons_url,cons_name,cons_nationality
1,1,81,7,villeneuve,,VIL,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Jacques,Villeneuve,1971-04-09,Canadian,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
2,2,42,1,frentzen,,,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen,Heinz-Harald,Frentzen,1967-05-18,German,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
3,3,36,2,coulthard,,COU,http://en.wikipedia.org/wiki/David_Coulthard,David,Coulthard,1971-03-27,British,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
4,4,36,0,alesi,,,http://en.wikipedia.org/wiki/Jean_Alesi,Jean,Alesi,1964-06-11,French,benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
5,5,27,1,berger,,,http://en.wikipedia.org/wiki/Gerhard_Berger,Gerhard,Berger,1959-08-27,Austrian,benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
6,6,27,1,hakkinen,,,http://en.wikipedia.org/wiki/Mika_H%C3%A4kkinen,Mika,Häkkinen,1968-09-28,Finnish,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
7,7,24,0,irvine,,,http://en.wikipedia.org/wiki/Eddie_Irvine,Eddie,Irvine,1965-11-10,British,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
8,8,20,0,fisichella,,FIS,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Giancarlo,Fisichella,1973-01-14,Italian,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
9,9,16,0,panis,,,http://en.wikipedia.org/wiki/Olivier_Panis,Olivier,Panis,1966-09-02,French,prost,http://en.wikipedia.org/wiki/Prost_Grand_Prix,Prost,French
10,10,15,0,herbert,,,http://en.wikipedia.org/wiki/Johnny_Herbert,Johnny,Herbert,1964-06-25,British,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
11,11,13,0,ralf_schumacher,,SCH,http://en.wikipedia.org/wiki/Ralf_Schumacher,Ralf,Schumacher,1975-06-30,German,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
12,12,7,0,damon_hill,,,http://en.wikipedia.org/wiki/Damon_Hill,Damon,Hill,1960-09-17,British,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British
13,13,6,0,barrichello,,BAR,http://en.wikipedia.org/wiki/Rubens_Barrichello,Rubens,Barrichello,1972-05-23,Brazilian,stewart,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,Stewart,British
14,14,4,0,wurz,,WUR,http://en.wikipedia.org/wiki/Alexander_Wurz,Alexander,Wurz,1974-02-15,Austrian,benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
15,15,3,0,trulli,,TRU,http://en.wikipedia.org/wiki/Jarno_Trulli,Jarno,Trulli,1974-07-13,Italian,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
16,16,2,0,diniz,,,http://en.wikipedia.org/wiki/Pedro_Diniz,Pedro,Diniz,1970-05-22,Brazilian,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British
17,17,2,0,salo,,,http://en.wikipedia.org/wiki/Mika_Salo,Mika,Salo,1966-11-30,Finnish,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
18,18,2,0,nakano,,,http://en.wikipedia.org/wiki/Shinji_Nakano,Shinji,Nakano,1971-04-01,Japanese,prost,http://en.wikipedia.org/wiki/Prost_Grand_Prix,Prost,French
19,19,1,0,larini,,,http://en.wikipedia.org/wiki/Nicola_Larini,Nicola,Larini,1964-03-19,Italian,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
,D,78,5,michael_schumacher,,MSC,http://en.wikipedia.org/wiki/Michael_Schumacher,Michael,Schumacher,1969-01-03,German,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
,-,0,0,magnussen,,MAG,http://en.wikipedia.org/wiki/Jan_Magnussen,Jan,Magnussen,1973-07-04,Danish,stewart,http://en.wikipedia.org/wiki/Stewart_Grand_Prix,Stewart,British
,-,0,0,verstappen,,,http://en.wikipedia.org/wiki/Jos_Verstappen,Jos,Verstappen,1972-03-04,Dutch,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
,-,0,0,morbidelli,,,http://en.wikipedia.org/wiki/Gianni_Morbidelli,Gianni,Morbidelli,1968-01-13,Italian,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
,-,0,0,fontana,,,http://en.wikipedia.org/wiki/Norberto_Fontana,Norberto,Fontana,1975-01-20,Argentine,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
,-,0,0,katayama,,,http://en.wikipedia.org/wiki/Ukyo_Katayama,Ukyo,Katayama,1963-05-29,Japanese,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
,-,0,0,marques,,,http://en.wikipedia.org/wiki/Tarso_Marques,Tarso,Marques,1976-01-19,Brazilian,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
,-,0,0,sospiri,,,http://en.wikipedia.org/wiki/Vincenzo_Sospiri,Vincenzo,Sospiri,1966-10-07,Italian,lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British
,-,0,0,rosset,,,http://en.wikipedia.org/wiki/Ricardo_Rosset,Ricardo,Rosset,1968-07-27,Brazilian,lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British
