position,positionText,points,wins,driverId,permanentNumber,code,url,givenName,familyName,dateOfBirth,nationality,constructorId,cons_url,cons_name,cons_nationality
1,1,61,5,emerson_fittipaldi,,,http://en.wikipedia.org/wiki/Emerson_Fittipaldi,Emerson,Fittipaldi,1946-12-12,Brazilian,team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
2,2,45,4,stewart,,,http://en.wikipedia.org/wiki/Jackie_Stewart,Jackie,Stewart,1939-06-11,British,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
3,3,39,1,hulme,,,http://en.wikipedia.org/wiki/Denny_Hulme,Denny,Hulme,1936-06-18,New Zealander,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
4,4,27,1,ickx,,,http://en.wikipedia.org/wiki/Jacky_Ickx,Jacky,Ickx,1945-01-01,Belgian,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
5,5,23,0,revson,,,http://en.wikipedia.org/wiki/Peter_Revson,Peter,Revson,1939-02-27,American,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
6,6,15,0,cevert,,,http://en.wikipedia.org/wiki/Fran%C3%A7ois_Cevert,François,Cevert,1944-02-25,French,tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
7,7,15,0,regazzoni,,,http://en.wikipedia.org/wiki/Clay_Regazzoni,Clay,Regazzoni,1939-09-05,Swiss,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
8,8,13,0,hailwood,,,http://en.wikipedia.org/wiki/Mike_Hailwood,Mike,Hailwood,1940-04-02,British,surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British
9,9,12,0,peterson,,,http://en.wikipedia.org/wiki/Ronnie_Peterson,Ronnie,Peterson,1944-02-14,Swedish,march,http://en.wikipedia.org/wiki/March_Engineering,March,British
10,10,12,0,amon,,,http://en.wikipedia.org/wiki/Chris_Amon,Chris,Amon,1943-07-20,New Zealander,matra,http://en.wikipedia.org/wiki/Matra,Matra,French
11,11,9,1,beltoise,,,http://en.wikipedia.org/wiki/Jean-Pierre_Beltoise,Jean-Pierre,Beltoise,1937-04-26,French,brm,http://en.wikipedia.org/wiki/BRM,BRM,British
12,12,4,0,mario_andretti,,,http://en.wikipedia.org/wiki/Mario_Andretti,Mario,Andretti,1940-02-28,American,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
13,13,4,0,ganley,,,http://en.wikipedia.org/wiki/Howden_Ganley,Howden,Ganley,1941-12-24,New Zealander,brm,http://en.wikipedia.org/wiki/BRM,BRM,British
14,14,4,0,redman,,,http://en.wikipedia.org/wiki/Brian_Redman,Brian,Redman,1937-03-09,British,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
