position,positionText,points,wins,driverId,permanentNumber,code,url,givenName,familyName,dateOfBirth,nationality,constructorId,cons_url,cons_name,cons_nationality
1,1,108,9,michael_schumacher,,MSC,http://en.wikipedia.org/wiki/Michael_Schumacher,Michael,Schumacher,1969-01-03,German,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
2,2,89,4,hakkinen,,,http://en.wikipedia.org/wiki/Mika_H%C3%A4kkinen,Mika,Häkkinen,1968-09-28,Finnish,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
3,3,73,3,coulthard,,COU,http://en.wikipedia.org/wiki/David_Coulthard,David,Coulthard,1971-03-27,British,mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
4,4,62,1,barrichello,,BAR,http://en.wikipedia.org/wiki/Rubens_Barrichello,Rubens,Barrichello,1972-05-23,Brazilian,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
5,5,24,0,ralf_schumacher,,SCH,http://en.wikipedia.org/wiki/Ralf_Schumacher,Ralf,Schumacher,1975-06-30,German,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
6,6,18,0,fisichella,,FIS,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Giancarlo,Fisichella,1973-01-14,Italian,benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
7,7,17,0,villeneuve,,VIL,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Jacques,Villeneuve,1971-04-09,Canadian,bar,http://en.wikipedia.org/wiki/British_American_Racing,BAR,British
8,8,12,0,button,22,BUT,http://en.wikipedia.org/wiki/Jenson_Button,Jenson,Button,1980-01-19,British,williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
9,9,11,0,frentzen,,,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen,Heinz-Harald,Frentzen,1967-05-18,German,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
10,10,6,0,trulli,,TRU,http://en.wikipedia.org/wiki/Jarno_Trulli,Jarno,Trulli,1974-07-13,Italian,jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
11,11,6,0,salo,,,http://en.wikipedia.org/wiki/Mika_Salo,Mika,Salo,1966-11-30,Finnish,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
12,12,5,0,verstappen,,,http://en.wikipedia.org/wiki/Jos_Verstappen,Jos,Verstappen,1972-03-04,Dutch,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British
13,13,4,0,irvine,,,http://en.wikipedia.org/wiki/Eddie_Irvine,Eddie,Irvine,1965-11-10,British,jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British
14,14,3,0,zonta,,ZON,http://en.wikipedia.org/wiki/Ricardo_Zonta,Ricardo,Zonta,1976-03-23,Brazilian,bar,http://en.wikipedia.org/wiki/British_American_Racing,BAR,British
15,15,2,0,wurz,,WUR,http://en.wikipedia.org/wiki/Alexander_Wurz,Alexander,Wurz,1974-02-15,Austrian,benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
16,16,2,0,rosa,,DLR,http://en.wikipedia.org/wiki/Pedro_de_la_Rosa,Pedro,de la Rosa,1971-02-24,Spanish,arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British
,-,0,0,herbert,,,http://en.wikipedia.org/wiki/Johnny_Herbert,Johnny,Herbert,1964-06-25,British,jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British
,-,0,0,diniz,,,http://en.wikipedia.org/wiki/Pedro_Diniz,Pedro,Diniz,1970-05-22,Brazilian,sauber,http://en.wikipedia.org/wiki/Sauber_Motorsport,Sauber,Swiss
,-,0,0,gene,,,http://en.wikipedia.org/wiki/Marc_Gen%C3%A9,Marc,Gené,1974-03-29,Spanish,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
,-,0,0,heidfeld,,HEI,http://en.wikipedia.org/wiki/Nick_Heidfeld,Nick,Heidfeld,1977-05-10,German,prost,http://en.wikipedia.org/wiki/Prost_Grand_Prix,Prost,French
,-,0,0,mazzacane,,,http://en.wikipedia.org/wiki/Gast%C3%B3n_Mazzacane,Gastón,Mazzacane,1975-05-08,Argentine,minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
,-,0,0,alesi,,,http://en.wikipedia.org/wiki/Jean_Alesi,Jean,Alesi,1964-06-11,French,prost,http://en.wikipedia.org/wiki/Prost_Grand_Prix,Prost,French
,-,0,0,burti,,,http://en.wikipedia.org/wiki/Luciano_Burti,Luciano,Burti,1975-03-05,Brazilian,jaguar,http://en.wikipedia.org/wiki/Jaguar_Racing,Jaguar,British
