position,positionText,points,wins,driverId,permanentNumber,code,url,givenName,familyName,dateOfBirth,nationality,constructorId,cons_url,cons_name,cons_nationality
1,1,40,4,fangio,,,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio,Juan,Fangio,1911-06-24,Argentine,maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian
2,2,25,3,moss,,,http://en.wikipedia.org/wiki/Stirling_Moss,Stirling,Moss,1929-09-17,British,maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian
3,3,16,0,musso,,,http://en.wikipedia.org/wiki/Luigi_Musso,Luigi,Musso,1924-07-28,Italian,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
4,4,13,0,hawthorn,,,http://en.wikipedia.org/wiki/Mike_Hawthorn,Mike,Hawthorn,1929-04-10,British,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
5,5,11,1,brooks,,,http://en.wikipedia.org/wiki/Tony_Brooks,Tony,Brooks,1932-02-25,British,vanwall,http://en.wikipedia.org/wiki/Vanwall,Vanwall,British
6,6,10,0,gregory,,,http://en.wikipedia.org/wiki/Masten_Gregory,Masten,Gregory,1932-02-29,American,maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian
7,7,10,0,schell,,,http://en.wikipedia.org/wiki/Harry_Schell,Harry,Schell,1921-06-29,American,maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian
8,8,8,1,hanks,,,http://en.wikipedia.org/wiki/Sam_Hanks,Sam,Hanks,1914-07-13,American,epperly,http://en.wikipedia.org/wiki/Epperly,Epperly,American
9,9,8,0,collins,,,http://en.wikipedia.org/wiki/Peter_Collins_(racing_driver),Peter,Collins,1931-11-06,British,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
10,10,7,0,rathmann,,,http://en.wikipedia.org/wiki/Jim_Rathmann,Jim,Rathmann,1928-07-16,American,epperly,http://en.wikipedia.org/wiki/Epperly,Epperly,American
11,11,6,0,behra,,,http://en.wikipedia.org/wiki/Jean_Behra,Jean,Behra,1921-02-16,French,maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian
12,12,5,0,lewis-evans,,,http://en.wikipedia.org/wiki/Stuart_Lewis-Evans,Stuart,Lewis-Evans,1930-04-20,British,connaught,http://en.wikipedia.org/wiki/Connaught_Engineering,Connaught,British
13,13,5,0,trintignant,,,http://en.wikipedia.org/wiki/Maurice_Trintignant,Maurice,Trintignant,1917-10-30,French,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
14,14,4,0,trips,,,http://en.wikipedia.org/wiki/Wolfgang_Graf_Berghe_von_Trips,Wolfgang,von Trips,1928-05-04,German,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
15,15,4,0,menditeguy,,,http://en.wikipedia.org/wiki/Carlos_Menditeguy,Carlos,Menditeguy,1914-08-10,Argentine,maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian
16,16,4,0,bryan,,,http://en.wikipedia.org/wiki/Jimmy_Bryan,Jimmy,Bryan,1926-01-28,American,kuzma,http://en.wikipedia.org/wiki/Kuzma_(constructor),Kuzma,American
17,17,3,0,paul_russo,,,http://en.wikipedia.org/wiki/Paul_Russo,Paul,Russo,1914-04-10,American,kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American
18,18,2,0,salvadori,,,http://en.wikipedia.org/wiki/Roy_Salvadori,Roy,Salvadori,1922-05-12,British,brm,http://en.wikipedia.org/wiki/BRM,BRM,British
19,19,2,0,linden,,,http://en.wikipedia.org/wiki/Andy_Linden_(racing_driver),Andy,Linden,1922-04-05,American,kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American
20,20,1,0,scarlatti,,,http://en.wikipedia.org/wiki/Giorgio_Scarlatti,Giorgio,Scarlatti,1921-10-02,Italian,maserati,http://en.wikipedia.org/wiki/Maserati,Maserati,Italian
21,21,1,0,gonzalez,,,http://en.wikipedia.org/wiki/Jos%C3%A9_Froil%C3%A1n_Gonz%C3%A1lez,José Froilán,González,1922-10-05,Argentine,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
22,22,1,0,portago,,,http://en.wikipedia.org/wiki/Alfonso_de_Portago,Alfonso,de Portago,1928-10-11,Spanish,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
,-,0,0,jack_brabham,,,http://en.wikipedia.org/wiki/Jack_Brabham,Jack,Brabham,1926-04-02,Australian,cooper,http://en.wikipedia.org/wiki/Cooper_Car_Company,Cooper,British
,-,0,0,perdisa,,,http://en.wikipedia.org/wiki/Cesare_Perdisa,Cesare,Perdisa,1932-10-21,Italian,ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
,-,0,0,boyd,,,http://en.wikipedia.org/wiki/Johnny_Boyd,Johnny,Boyd,1926-08-19,American,kurtis_kraft,http://en.wikipedia.org/wiki/Kurtis_Kraft,Kurtis Kraft,American
