constructorId,url,name,nationality
amon,http://en.wikipedia.org/wiki/Amon_(Formula_One_team),Amon,New Zealander
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
brm,http://en.wikipedia.org/wiki/BRM,BRM,British
ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
hesketh,http://en.wikipedia.org/wiki/Hesketh_Racing,Hesketh,British
iso_marlboro,http://en.wikipedia.org/wiki/Iso_Marlboro,Iso Marlboro,British
lola,http://en.wikipedia.org/wiki/MasterCard_Lola,Lola,British
lyncar,http://en.wikipedia.org/wiki/Lyncar,Lyncar,British
maki,http://en.wikipedia.org/wiki/Maki_(cars),Maki,Japanese
march,http://en.wikipedia.org/wiki/March_Engineering,March,British
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
parnelli,http://en.wikipedia.org/wiki/Parnelli,Parnelli,American
penske,http://en.wikipedia.org/wiki/Penske_Racing,Penske,American
shadow,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow,British
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
token,http://en.wikipedia.org/wiki/Token_(Racing_team),Token,British
trojan,http://en.wikipedia.org/wiki/Trojan_(Racing_team),Trojan,British
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
