constructorId,url,name,nationality
alfa,http://en.wikipedia.org/wiki/Alfa_Romeo_in_Formula_One,Alfa Romeo,Swiss
arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British
ats,http://en.wikipedia.org/wiki/ATS_(wheels),ATS,Italian
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
osella,http://en.wikipedia.org/wiki/Osella,Osella,Italian
ram,http://en.wikipedia.org/wiki/RAM_Racing,RAM,British
renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
spirit,http://en.wikipedia.org/wiki/Spirit_(racing_team),Spirit,British
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
theodore,http://en.wikipedia.org/wiki/Theodore_Racing,Theodore,Hong Kong
toleman,http://en.wikipedia.org/wiki/Toleman,Toleman,British
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
