constructorId,url,name,nationality
benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
dallara,http://en.wikipedia.org/wiki/Dallara,Dallara,Italian
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
fondmetal,http://en.wikipedia.org/wiki/Fondmetal,Fondmetal,Italian
footwork,http://en.wikipedia.org/wiki/Footwork_Arrows,Footwork,British
jordan,http://en.wikipedia.org/wiki/Jordan_Grand_Prix,Jordan,Irish
larrousse,http://en.wikipedia.org/wiki/Larrousse,Larrousse,French
ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French
march,http://en.wikipedia.org/wiki/March_Engineering,March,British
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
moda,http://en.wikipedia.org/wiki/Andrea_Moda_Formula,Andrea Moda,Italian
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
