constructorId,url,name,nationality
ags,http://en.wikipedia.org/wiki/Automobiles_Gonfaronnaises_Sportives,AGS,French
arrows,http://en.wikipedia.org/wiki/Arrows_Grand_Prix_International,Arrows,British
benetton,http://en.wikipedia.org/wiki/Benetton_Formula,Benetton,Italian
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
coloni,http://en.wikipedia.org/wiki/Enzo_Coloni_Racing_Car_Systems,Coloni,Italian
dallara,http://en.wikipedia.org/wiki/Dallara,Dallara,Italian
eurobrun,http://en.wikipedia.org/wiki/Euro_Brun,Euro Brun,Italian
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
larrousse,http://en.wikipedia.org/wiki/Larrousse,Larrousse,French
ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French
march,http://en.wikipedia.org/wiki/March_Engineering,March,British
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
minardi,http://en.wikipedia.org/wiki/Minardi,Minardi,Italian
onyx,http://en.wikipedia.org/wiki/Onyx_(racing_team),Onyx,British
osella,http://en.wikipedia.org/wiki/Osella,Osella,Italian
rial,http://en.wikipedia.org/wiki/Rial_%28racing_team%29,Rial,German
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
williams,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering,Williams,British
zakspeed,http://en.wikipedia.org/wiki/Zakspeed,Zakspeed,German
