constructorId,url,name,nationality
bellasi,http://en.wikipedia.org/wiki/Bellasi,Bellasi,Swiss
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
brm,http://en.wikipedia.org/wiki/BRM,BRM,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
lotus-ford,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Ford,British
lotus-pw,http://en.wikipedia.org/wiki/Team_Lotus,Lotus-Pratt &amp; Whitney,British
march-alfa_romeo,http://en.wikipedia.org/wiki/March_Engineering,March-Alfa Romeo,British
march-ford,http://en.wikipedia.org/wiki/March_Engineering,March-Ford,British
matra,http://en.wikipedia.org/wiki/Matra,Matra,French
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
