constructorId,url,name,nationality
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
brm,http://en.wikipedia.org/wiki/BRM,BRM,British
ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
iso_marlboro,http://en.wikipedia.org/wiki/Iso_Marlboro,Iso Marlboro,British
march,http://en.wikipedia.org/wiki/March_Engineering,March,British
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
shadow,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow,British
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
tecno,http://en.wikipedia.org/wiki/Tecno,Tecno,Italian
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
