constructorId,url,name,nationality
apollon,http://en.wikipedia.org/wiki/Apollon_(Formula_One),Apollon,Swiss
boro,http://en.wikipedia.org/wiki/Boro_(Formula_One),Boro,Dutch
brabham,http://en.wikipedia.org/wiki/Brabham,Brabham,British
brm,http://en.wikipedia.org/wiki/BRM,BRM,British
ensign,http://en.wikipedia.org/wiki/Ensign_%28racing_team%29,Ensign,British
ferrari,http://en.wikipedia.org/wiki/Scuderia_Ferrari,Ferrari,Italian
fittipaldi,http://en.wikipedia.org/wiki/Fittipaldi_%28constructor%29,Fittipaldi,Brazilian
hesketh,http://en.wikipedia.org/wiki/Hesketh_Racing,Hesketh,British
kojima,http://en.wikipedia.org/wiki/Kojima_Engineering,Kojima,Japanese
lec,http://en.wikipedia.org/wiki/LEC_(Formula_One),LEC,British
ligier,http://en.wikipedia.org/wiki/Ligier,Ligier,French
march,http://en.wikipedia.org/wiki/March_Engineering,March,British
mcguire,http://en.wikipedia.org/wiki/McGuire_(Formula_One),McGuire,Australian
mclaren,http://en.wikipedia.org/wiki/McLaren,McLaren,British
penske,http://en.wikipedia.org/wiki/Penske_Racing,Penske,American
renault,http://en.wikipedia.org/wiki/Renault_in_Formula_One,Renault,French
shadow,http://en.wikipedia.org/wiki/Shadow_Racing_Cars,Shadow,British
surtees,http://en.wikipedia.org/wiki/Surtees,Surtees,British
team_lotus,http://en.wikipedia.org/wiki/Team_Lotus,Team Lotus,British
tyrrell,http://en.wikipedia.org/wiki/Tyrrell_Racing,Tyrrell,British
wolf,http://en.wikipedia.org/wiki/Walter_Wolf_Racing,Wolf,Canadian
