driverId,url,givenName,familyName,dateOfBirth,nationality
agabashian,http://en.wikipedia.org/wiki/Fred_Agabashian,Fred,Agabashian,1913-08-21,American
armi,http://en.wikipedia.org/wiki/Frank_Armi,Frank,Armi,1918-10-12,American
ascari,http://en.wikipedia.org/wiki/Alberto_Ascari,Alberto,Ascari,1918-07-13,Italian
ayulo,http://en.wikipedia.org/wiki/Manny_Ayulo,Manny,Ayulo,1921-10-20,American
bayol,http://en.wikipedia.org/wiki/%C3%89lie_Bayol,Élie,Bayol,1914-02-28,French
beauman,http://en.wikipedia.org/wiki/Don_Beauman,Don,Beauman,1928-07-26,British
behra,http://en.wikipedia.org/wiki/Jean_Behra,Jean,Behra,1921-02-16,French
georges_berger,http://en.wikipedia.org/wiki/Georges_Berger,Georges,Berger,1918-09-14,Belgian
bettenhausen,http://en.wikipedia.org/wiki/Tony_Bettenhausen,Tony,Bettenhausen,1916-09-12,American
bira,http://en.wikipedia.org/wiki/Prince_Bira,Prince,Bira,1914-07-15,Thai
brandon,http://en.wikipedia.org/wiki/Eric_Brandon,Eric,Brandon,1920-07-18,British
alan_brown,http://en.wikipedia.org/wiki/Alan_Brown_(racing_driver),Alan,Brown,1919-11-20,British
bryan,http://en.wikipedia.org/wiki/Jimmy_Bryan,Jimmy,Bryan,1926-01-28,American
bucci,http://en.wikipedia.org/wiki/Clemar_Bucci,Clemar,Bucci,1920-09-04,Argentine
darter,http://en.wikipedia.org/wiki/Duane_Carter,Duane,Carter,1913-05-05,American
collins,http://en.wikipedia.org/wiki/Peter_Collins_(racing_driver),Peter,Collins,1931-11-06,British
crockett,http://en.wikipedia.org/wiki/Larry_Crockett,Larry,Crockett,1926-10-23,American
cross,http://en.wikipedia.org/wiki/Art_Cross,Art,Cross,1918-01-24,American
daponte,http://en.wikipedia.org/wiki/Jorge_Daponte,Jorge,Daponte,1923-06-05,Argentine
davies,http://en.wikipedia.org/wiki/Jimmy_Davies,Jimmy,Davies,1929-08-08,American
daywalt,http://en.wikipedia.org/wiki/Jimmy_Daywalt,Jimmy,Daywalt,1924-08-28,American
graffenried,http://en.wikipedia.org/wiki/Toulo_de_Graffenried,Toulo,de Graffenried,1914-05-18,Swiss
riu,http://en.wikipedia.org/wiki/Giovanni_de_Riu,Giovanni,de Riu,1925-03-10,Italian
duncan,http://en.wikipedia.org/wiki/Len_Duncan,Len,Duncan,1911-07-25,American
elisian,http://en.wikipedia.org/wiki/Ed_Elisian,Ed,Elisian,1926-12-09,American
fangio,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio,Juan,Fangio,1911-06-24,Argentine
farina,http://en.wikipedia.org/wiki/Nino_Farina,Nino,Farina,1906-10-30,Italian
faulkner,http://en.wikipedia.org/wiki/Walt_Faulkner,Walt,Faulkner,1920-02-16,American
flaherty,http://en.wikipedia.org/wiki/Pat_Flaherty_(racing_driver),Pat,Flaherty,1926-01-06,American
flockhart,http://en.wikipedia.org/wiki/Ron_Flockhart_(auto_racing),Ron,Flockhart,1923-06-16,British
