driverId,url,givenName,familyName,dateOfBirth,nationality
amon,http://en.wikipedia.org/wiki/Chris_Amon,Chris,Amon,1943-07-20,New Zealander
anderson,http://en.wikipedia.org/wiki/Bob_Anderson_(racing_driver),Bob,Anderson,1931-05-19,British
arundell,http://en.wikipedia.org/wiki/Peter_Arundell,Peter,Arundell,1933-11-08,British
baghetti,http://en.wikipedia.org/wiki/Giancarlo_Baghetti,Giancarlo,Baghetti,1934-12-25,Italian
bandini,http://en.wikipedia.org/wiki/Lorenzo_Bandini,Lorenzo,Bandini,1935-12-21,Italian
bondurant,http://en.wikipedia.org/wiki/Bob_Bondurant,Bob,Bondurant,1933-04-27,American
bonnier,http://en.wikipedia.org/wiki/Joakim_Bonnier,Jo,Bonnier,1930-01-31,Swedish
jack_brabham,http://en.wikipedia.org/wiki/Jack_Brabham,Jack,Brabham,1926-04-02,Australian
bucknum,http://en.wikipedia.org/wiki/Ronnie_Bucknum,Ronnie,Bucknum,1936-04-05,American
clark,http://en.wikipedia.org/wiki/Jim_Clark,Jim,Clark,1936-03-04,British
ginther,http://en.wikipedia.org/wiki/Richie_Ginther,Richie,Ginther,1930-08-05,American
gurney,http://en.wikipedia.org/wiki/Dan_Gurney,Dan,Gurney,1931-04-13,American
hill,http://en.wikipedia.org/wiki/Graham_Hill,Graham,Hill,1929-02-15,British
phil_hill,http://en.wikipedia.org/wiki/Phil_Hill,Phil,Hill,1927-04-20,American
hulme,http://en.wikipedia.org/wiki/Denny_Hulme,Denny,Hulme,1936-06-18,New Zealander
ireland,http://en.wikipedia.org/wiki/Innes_Ireland,Innes,Ireland,1930-06-12,British
irwin,http://en.wikipedia.org/wiki/Chris_Irwin,Chris,Irwin,1942-06-27,British
lawrence,http://en.wikipedia.org/wiki/Chris_Lawrence_(racing_driver),Chris,Lawrence,1933-07-27,British
ligier,http://en.wikipedia.org/wiki/Guy_Ligier,Guy,Ligier,1930-07-12,French
mclaren,http://en.wikipedia.org/wiki/Bruce_McLaren,Bruce,McLaren,1937-08-30,New Zealander
parkes,http://en.wikipedia.org/wiki/Mike_Parkes,Mike,Parkes,1931-09-24,British
rindt,http://en.wikipedia.org/wiki/Jochen_Rindt,Jochen,Rindt,1942-04-18,Austrian
rodriguez,http://en.wikipedia.org/wiki/Pedro_Rodr%C3%ADguez_(racing_driver),Pedro,Rodríguez,1940-01-18,Mexican
geki,http://en.wikipedia.org/wiki/Geki_(driver),Giacomo,Russo,1937-10-23,Italian
scarfiotti,http://en.wikipedia.org/wiki/Ludovico_Scarfiotti,Ludovico,Scarfiotti,1933-10-18,Italian
siffert,http://en.wikipedia.org/wiki/Jo_Siffert,Jo,Siffert,1936-07-07,Swiss
solana,http://en.wikipedia.org/wiki/Mois%C3%A9s_Solana,Moisés,Solana,1935-12-26,Mexican
spence,http://en.wikipedia.org/wiki/Mike_Spence,Mike,Spence,1936-12-30,British
stewart,http://en.wikipedia.org/wiki/Jackie_Stewart,Jackie,Stewart,1939-06-11,British
surtees,http://en.wikipedia.org/wiki/John_Surtees,John,Surtees,1934-02-11,British
