driverId,url,givenName,familyName,dateOfBirth,nationality,code
abate,http://en.wikipedia.org/wiki/Carlo_Mario_Abate,Carlo,Abate,1932-07-10,Italian,
amon,http://en.wikipedia.org/wiki/Chris_Amon,Chris,Amon,1943-07-20,New Zealander,
anderson,http://en.wikipedia.org/wiki/Bob_Anderson_(racing_driver),Bob,Anderson,1931-05-19,British,
arundell,http://en.wikipedia.org/wiki/Peter_Arundell,Peter,Arundell,1933-11-08,British,
baghetti,http://en.wikipedia.org/wiki/Giancarlo_Baghetti,Giancarlo,Baghetti,1934-12-25,Italian,
bandini,http://en.wikipedia.org/wiki/Lorenzo_Bandini,Lorenzo,Bandini,1935-12-21,Italian,
bianchi,http://en.wikipedia.org/wiki/Lucien_Bianchi,Lucien,Bianchi,1934-11-10,Belgian,BIA
blokdyk,http://en.wikipedia.org/wiki/Trevor_Blokdyk,Trevor,Blokdyk,1935-11-30,South African,
bonnier,http://en.wikipedia.org/wiki/Joakim_Bonnier,Jo,Bonnier,1930-01-31,Swedish,
jack_brabham,http://en.wikipedia.org/wiki/Jack_Brabham,Jack,Brabham,1926-04-02,Australian,
ernesto_brambilla,http://en.wikipedia.org/wiki/Ernesto_Brambilla,Ernesto,Brambilla,1934-01-31,Italian,
broeker,http://en.wikipedia.org/wiki/Peter_Broeker,Peter,Broeker,1926-05-15,Canadian,
burgess,http://en.wikipedia.org/wiki/Ian_Burgess,Ian,Burgess,1930-07-06,British,
cabral,http://en.wikipedia.org/wiki/Mario_de_Araujo_Cabral,Mário de Araújo,Cabral,1934-01-15,Portuguese,
campbell-jones,http://en.wikipedia.org/wiki/John_Campbell-Jones,John,Campbell-Jones,1930-01-21,British,
clark,http://en.wikipedia.org/wiki/Jim_Clark,Jim,Clark,1936-03-04,British,
collomb,http://en.wikipedia.org/wiki/Bernard_Collomb,Bernard,Collomb,1930-10-07,French,
beaufort,http://en.wikipedia.org/wiki/Carel_Godin_de_Beaufort,Carel Godin,de Beaufort,1934-04-10,Dutch,
klerk,http://en.wikipedia.org/wiki/Peter_de_Klerk,Peter,de Klerk,1935-03-16,South African,
vos,http://en.wikipedia.org/wiki/Ernie_de_Vos,Ernie,de Vos,1941-07-01,Dutch,
dochnal,http://en.wikipedia.org/wiki/Frank_Dochnal,Frank,Dochnal,1920-10-08,American,
driver,http://en.wikipedia.org/wiki/Paddy_Driver,Paddy,Driver,1934-05-13,South African,
estefano,http://en.wikipedia.org/wiki/Nasif_Est%C3%A9fano,Nasif,Estéfano,1932-11-18,Argentine,
ginther,http://en.wikipedia.org/wiki/Richie_Ginther,Richie,Ginther,1930-08-05,American,
gregory,http://en.wikipedia.org/wiki/Masten_Gregory,Masten,Gregory,1932-02-29,American,
gurney,http://en.wikipedia.org/wiki/Dan_Gurney,Dan,Gurney,1931-04-13,American,
hailwood,http://en.wikipedia.org/wiki/Mike_Hailwood,Mike,Hailwood,1940-04-02,British,
hall,http://en.wikipedia.org/wiki/Jim_Hall_(race_car_driver),Jim,Hall,1935-07-23,American,
hansgen,http://en.wikipedia.org/wiki/Walt_Hansgen,Walt,Hansgen,1919-10-28,American,
hill,http://en.wikipedia.org/wiki/Graham_Hill,Graham,Hill,1929-02-15,British,
