driverId,url,givenName,familyName,dateOfBirth,nationality,code
allison,http://en.wikipedia.org/wiki/Cliff_Allison,Cliff,Allison,1932-02-08,British,
amick,http://en.wikipedia.org/wiki/Red_Amick,Red,Amick,1929-01-19,American,
barth,http://en.wikipedia.org/wiki/Edgar_Barth,Edgar,Barth,1917-01-26,German,
bettenhausen,http://en.wikipedia.org/wiki/Tony_Bettenhausen,Tony,Bettenhausen,1916-09-12,American,
bianchi,http://en.wikipedia.org/wiki/Lucien_Bianchi,Lucien,Bianchi,1934-11-10,Belgian,BIA
bonnier,http://en.wikipedia.org/wiki/Joakim_Bonnier,Jo,Bonnier,1930-01-31,Swedish,
bonomi,http://en.wikipedia.org/wiki/Roberto_Bonomi,Roberto,Bonomi,1919-09-30,Argentine,
boyd,http://en.wikipedia.org/wiki/Johnny_Boyd,Johnny,Boyd,1926-08-19,American,
jack_brabham,http://en.wikipedia.org/wiki/Jack_Brabham,Jack,Brabham,1926-04-02,Australian,
branson,http://en.wikipedia.org/wiki/Don_Branson,Don,Branson,1920-06-02,American,
bristow,http://en.wikipedia.org/wiki/Chris_Bristow,Chris,Bristow,1937-12-02,British,
brooks,http://en.wikipedia.org/wiki/Tony_Brooks,Tony,Brooks,1932-02-25,British,
bryan,http://en.wikipedia.org/wiki/Jimmy_Bryan,Jimmy,Bryan,1926-01-28,American,
burgess,http://en.wikipedia.org/wiki/Ian_Burgess,Ian,Burgess,1930-07-06,British,
cabianca,http://en.wikipedia.org/wiki/Giulio_Cabianca,Giulio,Cabianca,1923-02-19,Italian,
cabral,http://en.wikipedia.org/wiki/Mario_de_Araujo_Cabral,Mário de Araújo,Cabral,1934-01-15,Portuguese,
darter,http://en.wikipedia.org/wiki/Duane_Carter,Duane,Carter,1913-05-05,American,
chimeri,http://en.wikipedia.org/wiki/Ettore_Chimeri,Ettore,Chimeri,1921-06-04,Venezuelan,
christie,http://en.wikipedia.org/wiki/Bob_Christie_(racing_driver),Bob,Christie,1924-04-04,American,
clark,http://en.wikipedia.org/wiki/Jim_Clark,Jim,Clark,1936-03-04,British,
creus,http://en.wikipedia.org/wiki/Antonio_Creus,Antonio,Creus,1924-10-28,Spanish,
daigh,http://en.wikipedia.org/wiki/Chuck_Daigh,Chuck,Daigh,1923-11-29,American,
beaufort,http://en.wikipedia.org/wiki/Carel_Godin_de_Beaufort,Carel Godin,de Beaufort,1934-04-10,Dutch,
drake,http://en.wikipedia.org/wiki/Bob_Drake_(Formula_One),Bob,Drake,1919-12-14,American,
drogo,http://en.wikipedia.org/wiki/Piero_Drogo,Piero,Drogo,1926-08-08,Italian,
estefano,http://en.wikipedia.org/wiki/Nasif_Est%C3%A9fano,Nasif,Estéfano,1932-11-18,Argentine,
fairman,http://en.wikipedia.org/wiki/Jack_Fairman,Jack,Fairman,1913-03-15,British,
flockhart,http://en.wikipedia.org/wiki/Ron_Flockhart_(auto_racing),Ron,Flockhart,1923-06-16,British,
force,http://en.wikipedia.org/wiki/Gene_Force,Gene,Force,1916-06-15,American,
foyt,http://en.wikipedia.org/wiki/A.J._Foyt,Anthony,Foyt,1935-01-16,American,
