driverId,url,givenName,familyName,dateOfBirth,nationality
abecassis,http://en.wikipedia.org/wiki/George_Abecassis,George,Abecassis,1913-03-21,British
agabashian,http://en.wikipedia.org/wiki/Fred_Agabashian,Fred,Agabashian,1913-08-21,American
ascari,http://en.wikipedia.org/wiki/Alberto_Ascari,Alberto,Ascari,1918-07-13,Italian
aston,http://en.wikipedia.org/wiki/Bill_Aston,Bill,Aston,1900-03-29,British
ayulo,http://en.wikipedia.org/wiki/Manny_Ayulo,Manny,Ayulo,1921-10-20,American
ball,http://en.wikipedia.org/wiki/Bobby_Ball_(auto_racer),Bobby,Ball,1925-08-26,American
balsa,http://en.wikipedia.org/wiki/Marcel_Balsa,Marcel,Balsa,1909-01-01,French
banks,http://en.wikipedia.org/wiki/Henry_Banks,Henry,Banks,1913-06-14,American
bayol,http://en.wikipedia.org/wiki/%C3%89lie_Bayol,Élie,Bayol,1914-02-28,French
bechem,http://en.wikipedia.org/wiki/G%C3%BCnther_Bechem,Günther,Bechem,1921-12-21,German
behra,http://en.wikipedia.org/wiki/Jean_Behra,Jean,Behra,1921-02-16,French
bettenhausen,http://en.wikipedia.org/wiki/Tony_Bettenhausen,Tony,Bettenhausen,1916-09-12,American
bianco,http://en.wikipedia.org/wiki/Gino_Bianco,Gino,Bianco,1916-07-22,Brazilian
bira,http://en.wikipedia.org/wiki/Prince_Bira,Prince,Bira,1914-07-15,Thai
bonetto,http://en.wikipedia.org/wiki/Felice_Bonetto,Felice,Bonetto,1903-06-09,Italian
brandon,http://en.wikipedia.org/wiki/Eric_Brandon,Eric,Brandon,1920-07-18,British
alan_brown,http://en.wikipedia.org/wiki/Alan_Brown_(racing_driver),Alan,Brown,1919-11-20,British
brudes,http://en.wikipedia.org/wiki/Adolf_Brudes,Adolf,Brudes,1899-10-15,German
bryan,http://en.wikipedia.org/wiki/Jimmy_Bryan,Jimmy,Bryan,1926-01-28,American
cabantous,http://en.wikipedia.org/wiki/Yves_Giraud_Cabantous,Yves,Cabantous,1904-10-08,French
cantoni,http://en.wikipedia.org/wiki/Eitel_Cantoni,Eitel,Cantoni,1906-10-04,Uruguayan
carini,http://en.wikipedia.org/wiki/Piero_Carini,Piero,Carini,1921-03-06,Italian
darter,http://en.wikipedia.org/wiki/Duane_Carter,Duane,Carter,1913-05-05,American
claes,http://en.wikipedia.org/wiki/Johnny_Claes,Johnny,Claes,1916-08-11,Belgian
collins,http://en.wikipedia.org/wiki/Peter_Collins_(racing_driver),Peter,Collins,1931-11-06,British
comotti,http://en.wikipedia.org/wiki/Franco_Comotti,Franco,Comotti,1906-07-24,Italian
george_connor,http://en.wikipedia.org/wiki/George_Connor_(driver),George,Connor,1906-08-16,American
crespo,http://en.wikipedia.org/wiki/Alberto_Crespo,Alberto,Crespo,1920-01-16,Argentine
crook,http://en.wikipedia.org/wiki/Tony_Crook,Tony,Crook,1920-02-16,British
cross,http://en.wikipedia.org/wiki/Art_Cross,Art,Cross,1918-01-24,American
