driverId,url,givenName,familyName,dateOfBirth,nationality,code
alesi,http://en.wikipedia.org/wiki/Jean_Alesi,Jean,Alesi,1964-06-11,French,
badoer,http://en.wikipedia.org/wiki/Luca_Badoer,Luca,Badoer,1971-01-25,Italian,BAD
barrichello,http://en.wikipedia.org/wiki/Rubens_Barrichello,Rubens,Barrichello,1972-05-23,Brazilian,BAR
coulthard,http://en.wikipedia.org/wiki/David_Coulthard,David,Coulthard,1971-03-27,British,COU
rosa,http://en.wikipedia.org/wiki/Pedro_de_la_Rosa,Pedro,de la Rosa,1971-02-24,Spanish,DLR
diniz,http://en.wikipedia.org/wiki/Pedro_Diniz,Pedro,Diniz,1970-05-22,Brazilian,
fisichella,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Giancarlo,Fisichella,1973-01-14,Italian,FIS
frentzen,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen,Heinz-Harald,Frentzen,1967-05-18,German,
gene,http://en.wikipedia.org/wiki/Marc_Gen%C3%A9,Marc,Gené,1974-03-29,Spanish,
hakkinen,http://en.wikipedia.org/wiki/Mika_H%C3%A4kkinen,Mika,Häkkinen,1968-09-28,Finnish,
herbert,http://en.wikipedia.org/wiki/Johnny_Herbert,Johnny,Herbert,1964-06-25,British,
damon_hill,http://en.wikipedia.org/wiki/Damon_Hill,Damon,Hill,1960-09-17,British,
irvine,http://en.wikipedia.org/wiki/Eddie_Irvine,Eddie,Irvine,1965-11-10,British,
panis,http://en.wikipedia.org/wiki/Olivier_Panis,Olivier,Panis,1966-09-02,French,
salo,http://en.wikipedia.org/wiki/Mika_Salo,Mika,Salo,1966-11-30,Finnish,
sarrazin,http://en.wikipedia.org/wiki/St%C3%A9phane_Sarrazin,Stéphane,Sarrazin,1975-11-02,French,
michael_schumacher,http://en.wikipedia.org/wiki/Michael_Schumacher,Michael,Schumacher,1969-01-03,German,MSC
ralf_schumacher,http://en.wikipedia.org/wiki/Ralf_Schumacher,Ralf,Schumacher,1975-06-30,German,SCH
takagi,http://en.wikipedia.org/wiki/Toranosuke_Takagi,Toranosuke,Takagi,1974-02-12,Japanese,
trulli,http://en.wikipedia.org/wiki/Jarno_Trulli,Jarno,Trulli,1974-07-13,Italian,TRU
villeneuve,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Jacques,Villeneuve,1971-04-09,Canadian,VIL
wurz,http://en.wikipedia.org/wiki/Alexander_Wurz,Alexander,Wurz,1974-02-15,Austrian,WUR
zanardi,http://en.wikipedia.org/wiki/Alex_Zanardi,Alessandro,Zanardi,1966-10-23,Italian,
zonta,http://en.wikipedia.org/wiki/Ricardo_Zonta,Ricardo,Zonta,1976-03-23,Brazilian,ZON
