driverId,url,givenName,familyName,dateOfBirth,nationality
agabashian,http://en.wikipedia.org/wiki/Fred_Agabashian,Fred,Agabashian,1913-08-21,American
andrews,http://en.wikipedia.org/wiki/Keith_Andrews_(driver),Keith,Andrews,1920-06-15,American
ascari,http://en.wikipedia.org/wiki/Alberto_Ascari,Alberto,Ascari,1918-07-13,Italian
bayol,http://en.wikipedia.org/wiki/%C3%89lie_Bayol,Élie,Bayol,1914-02-28,French
behra,http://en.wikipedia.org/wiki/Jean_Behra,Jean,Behra,1921-02-16,French
bettenhausen,http://en.wikipedia.org/wiki/Tony_Bettenhausen,Tony,Bettenhausen,1916-09-12,American
birger,http://en.wikipedia.org/wiki/Pablo_Birger,Pablo,Birger,1924-01-07,Argentine
boyd,http://en.wikipedia.org/wiki/Johnny_Boyd,Johnny,Boyd,1926-08-19,American
jack_brabham,http://en.wikipedia.org/wiki/Jack_Brabham,Jack,Brabham,1926-04-02,Australian
bryan,http://en.wikipedia.org/wiki/Jimmy_Bryan,Jimmy,Bryan,1926-01-28,American
bucci,http://en.wikipedia.org/wiki/Clemar_Bucci,Clemar,Bucci,1920-09-04,Argentine
darter,http://en.wikipedia.org/wiki/Duane_Carter,Duane,Carter,1913-05-05,American
castellotti,http://en.wikipedia.org/wiki/Eugenio_Castellotti,Eugenio,Castellotti,1930-10-10,Italian
chiron,http://en.wikipedia.org/wiki/Louis_Chiron,Louis,Chiron,1899-08-03,Monegasque
claes,http://en.wikipedia.org/wiki/Johnny_Claes,Johnny,Claes,1916-08-11,Belgian
collins,http://en.wikipedia.org/wiki/Peter_Collins_(racing_driver),Peter,Collins,1931-11-06,British
ray_crawford,http://en.wikipedia.org/wiki/Ray_Crawford,Ray,Crawford,1915-10-26,American
cross,http://en.wikipedia.org/wiki/Art_Cross,Art,Cross,1918-01-24,American
ramos,http://en.wikipedia.org/wiki/Hernando_da_Silva_Ramos,Hernando,da Silva Ramos,1925-12-07,Brazilian
davies,http://en.wikipedia.org/wiki/Jimmy_Davies,Jimmy,Davies,1929-08-08,American
daywalt,http://en.wikipedia.org/wiki/Jimmy_Daywalt,Jimmy,Daywalt,1924-08-28,American
elisian,http://en.wikipedia.org/wiki/Ed_Elisian,Ed,Elisian,1926-12-09,American
fairman,http://en.wikipedia.org/wiki/Jack_Fairman,Jack,Fairman,1913-03-15,British
fangio,http://en.wikipedia.org/wiki/Juan_Manuel_Fangio,Juan,Fangio,1911-06-24,Argentine
farina,http://en.wikipedia.org/wiki/Nino_Farina,Nino,Farina,1906-10-30,Italian
faulkner,http://en.wikipedia.org/wiki/Walt_Faulkner,Walt,Faulkner,1920-02-16,American
fitch,http://en.wikipedia.org/wiki/John_Fitch_(driver),John,Fitch,1917-08-04,American
flaherty,http://en.wikipedia.org/wiki/Pat_Flaherty_(racing_driver),Pat,Flaherty,1926-01-06,American
freeland,http://en.wikipedia.org/wiki/Don_Freeland,Don,Freeland,1925-03-25,American
frere,http://en.wikipedia.org/wiki/Paul_Fr%C3%A8re,Paul,Frère,1917-01-30,Belgian
