driverId,url,givenName,familyName,dateOfBirth,nationality,code
alesi,http://en.wikipedia.org/wiki/Jean_Alesi,Jean,Alesi,1964-06-11,French,
barrichello,http://en.wikipedia.org/wiki/Rubens_Barrichello,Rubens,Barrichello,1972-05-23,Brazilian,BAR
berger,http://en.wikipedia.org/wiki/Gerhard_Berger,Gerhard,Berger,1959-08-27,Austrian,
coulthard,http://en.wikipedia.org/wiki/David_Coulthard,David,Coulthard,1971-03-27,British,COU
diniz,http://en.wikipedia.org/wiki/Pedro_Diniz,Pedro,Diniz,1970-05-22,Brazilian,
fisichella,http://en.wikipedia.org/wiki/Giancarlo_Fisichella,Giancarlo,Fisichella,1973-01-14,Italian,FIS
fontana,http://en.wikipedia.org/wiki/Norberto_Fontana,Norberto,Fontana,1975-01-20,Argentine,
frentzen,http://en.wikipedia.org/wiki/Heinz-Harald_Frentzen,Heinz-Harald,Frentzen,1967-05-18,German,
hakkinen,http://en.wikipedia.org/wiki/Mika_H%C3%A4kkinen,Mika,Häkkinen,1968-09-28,Finnish,
herbert,http://en.wikipedia.org/wiki/Johnny_Herbert,Johnny,Herbert,1964-06-25,British,
damon_hill,http://en.wikipedia.org/wiki/Damon_Hill,Damon,Hill,1960-09-17,British,
irvine,http://en.wikipedia.org/wiki/Eddie_Irvine,Eddie,Irvine,1965-11-10,British,
katayama,http://en.wikipedia.org/wiki/Ukyo_Katayama,Ukyo,Katayama,1963-05-29,Japanese,
larini,http://en.wikipedia.org/wiki/Nicola_Larini,Nicola,Larini,1964-03-19,Italian,
magnussen,http://en.wikipedia.org/wiki/Jan_Magnussen,Jan,Magnussen,1973-07-04,Danish,MAG
marques,http://en.wikipedia.org/wiki/Tarso_Marques,Tarso,Marques,1976-01-19,Brazilian,
morbidelli,http://en.wikipedia.org/wiki/Gianni_Morbidelli,Gianni,Morbidelli,1968-01-13,Italian,
nakano,http://en.wikipedia.org/wiki/Shinji_Nakano,Shinji,Nakano,1971-04-01,Japanese,
panis,http://en.wikipedia.org/wiki/Olivier_Panis,Olivier,Panis,1966-09-02,French,
rosset,http://en.wikipedia.org/wiki/Ricardo_Rosset,Ricardo,Rosset,1968-07-27,Brazilian,
salo,http://en.wikipedia.org/wiki/Mika_Salo,Mika,Salo,1966-11-30,Finnish,
michael_schumacher,http://en.wikipedia.org/wiki/Michael_Schumacher,Michael,Schumacher,1969-01-03,German,MSC
ralf_schumacher,http://en.wikipedia.org/wiki/Ralf_Schumacher,Ralf,Schumacher,1975-06-30,German,SCH
sospiri,http://en.wikipedia.org/wiki/Vincenzo_Sospiri,Vincenzo,Sospiri,1966-10-07,Italian,
trulli,http://en.wikipedia.org/wiki/Jarno_Trulli,Jarno,Trulli,1974-07-13,Italian,TRU
verstappen,http://en.wikipedia.org/wiki/Jos_Verstappen,Jos,Verstappen,1972-03-04,Dutch,
villeneuve,http://en.wikipedia.org/wiki/Jacques_Villeneuve,Jacques,Villeneuve,1971-04-09,Canadian,VIL
wurz,http://en.wikipedia.org/wiki/Alexander_Wurz,Alexander,Wurz,1974-02-15,Austrian,WUR
