driverId,url,givenName,familyName,dateOfBirth,nationality,code
amon,http://en.wikipedia.org/wiki/Chris_Amon,Chris,Amon,1943-07-20,New Zealander,
anderson,http://en.wikipedia.org/wiki/Bob_Anderson_(racing_driver),Bob,Anderson,1931-05-19,British,
attwood,http://en.wikipedia.org/wiki/Richard_Attwood,Richard,Attwood,1940-04-04,British,
baghetti,http://en.wikipedia.org/wiki/Giancarlo_Baghetti,Giancarlo,Baghetti,1934-12-25,Italian,
bandini,http://en.wikipedia.org/wiki/Lorenzo_Bandini,Lorenzo,Bandini,1935-12-21,Italian,
bassi,http://en.wikipedia.org/wiki/Giorgio_Bassi,Giorgio,Bassi,1934-01-20,Italian,
bianchi,http://en.wikipedia.org/wiki/Lucien_Bianchi,Lucien,Bianchi,1934-11-10,Belgian,BIA
blignaut,http://en.wikipedia.org/wiki/Alex_Blignaut,Alex,Blignaut,1932-11-30,South African,
blokdyk,http://en.wikipedia.org/wiki/Trevor_Blokdyk,Trevor,Blokdyk,1935-11-30,South African,
bondurant,http://en.wikipedia.org/wiki/Bob_Bondurant,Bob,Bondurant,1933-04-27,American,
bonnier,http://en.wikipedia.org/wiki/Joakim_Bonnier,Jo,Bonnier,1930-01-31,Swedish,
jack_brabham,http://en.wikipedia.org/wiki/Jack_Brabham,Jack,Brabham,1926-04-02,Australian,
bucknum,http://en.wikipedia.org/wiki/Ronnie_Bucknum,Ronnie,Bucknum,1936-04-05,American,
bussinello,http://en.wikipedia.org/wiki/Roberto_Bussinello,Roberto,Bussinello,1927-10-04,Italian,
charlton,http://en.wikipedia.org/wiki/Dave_Charlton,Dave,Charlton,1936-10-27,South African,
clapham,http://en.wikipedia.org/wiki/David_Clapham,David,Clapham,1931-05-18,South African,
clark,http://en.wikipedia.org/wiki/Jim_Clark,Jim,Clark,1936-03-04,British,
klerk,http://en.wikipedia.org/wiki/Peter_de_Klerk,Peter,de Klerk,1935-03-16,South African,
gardner,http://en.wikipedia.org/wiki/Frank_Gardner_(driver),Frank,Gardner,1930-10-01,Australian,
ginther,http://en.wikipedia.org/wiki/Richie_Ginther,Richie,Ginther,1930-08-05,American,
gregory,http://en.wikipedia.org/wiki/Masten_Gregory,Masten,Gregory,1932-02-29,American,
gubby,http://en.wikipedia.org/wiki/Brian_Gubby,Brian,Gubby,1934-04-17,British,
gurney,http://en.wikipedia.org/wiki/Dan_Gurney,Dan,Gurney,1931-04-13,American,
hailwood,http://en.wikipedia.org/wiki/Mike_Hailwood,Mike,Hailwood,1940-04-02,British,
hawkins,http://en.wikipedia.org/wiki/Paul_Hawkins_(racing_driver),Paul,Hawkins,1937-10-12,Australian,
hill,http://en.wikipedia.org/wiki/Graham_Hill,Graham,Hill,1929-02-15,British,
hulme,http://en.wikipedia.org/wiki/Denny_Hulme,Denny,Hulme,1936-06-18,New Zealander,
ireland,http://en.wikipedia.org/wiki/Innes_Ireland,Innes,Ireland,1930-06-12,British,
lederle,http://en.wikipedia.org/wiki/Neville_Lederle,Neville,Lederle,1938-09-25,South African,
love,http://en.wikipedia.org/wiki/John_Love_(racing_driver),John,Love,1924-12-07,Rhodesian,
