driverId,url,givenName,familyName,dateOfBirth,nationality
amon,http://en.wikipedia.org/wiki/Chris_Amon,Chris,Amon,1943-07-20,New Zealander
mario_andretti,http://en.wikipedia.org/wiki/Mario_Andretti,Mario,Andretti,1940-02-28,American
barber,http://en.wikipedia.org/wiki/Skip_Barber,Skip,Barber,1936-11-16,American
bell,http://en.wikipedia.org/wiki/Derek_Bell_(auto_racer),Derek,Bell,1941-10-31,British
beltoise,http://en.wikipedia.org/wiki/Jean-Pierre_Beltoise,Jean-Pierre,Beltoise,1937-04-26,French
beuttler,http://en.wikipedia.org/wiki/Mike_Beuttler,Mike,Beuttler,1940-04-13,British
brack,http://en.wikipedia.org/wiki/Bill_Brack,Bill,Brack,1935-12-26,Canadian
cevert,http://en.wikipedia.org/wiki/Fran%C3%A7ois_Cevert,François,Cevert,1944-02-25,French
charlton,http://en.wikipedia.org/wiki/Dave_Charlton,Dave,Charlton,1936-10-27,South African
adamich,http://en.wikipedia.org/wiki/Andrea_de_Adamich,Andrea,de Adamich,1941-10-03,Italian
depailler,http://en.wikipedia.org/wiki/Patrick_Depailler,Patrick,Depailler,1944-08-09,French
emerson_fittipaldi,http://en.wikipedia.org/wiki/Emerson_Fittipaldi,Emerson,Fittipaldi,1946-12-12,Brazilian
wilson_fittipaldi,http://en.wikipedia.org/wiki/Wilson_Fittipaldi,Wilson,Fittipaldi,1943-12-25,Brazilian
galli,http://en.wikipedia.org/wiki/Nanni_Galli,Nanni,Galli,1940-10-02,Italian
ganley,http://en.wikipedia.org/wiki/Howden_Ganley,Howden,Ganley,1941-12-24,New Zealander
gethin,http://en.wikipedia.org/wiki/Peter_Gethin,Peter,Gethin,1940-02-21,British
hailwood,http://en.wikipedia.org/wiki/Mike_Hailwood,Mike,Hailwood,1940-04-02,British
hill,http://en.wikipedia.org/wiki/Graham_Hill,Graham,Hill,1929-02-15,British
hulme,http://en.wikipedia.org/wiki/Denny_Hulme,Denny,Hulme,1936-06-18,New Zealander
ickx,http://en.wikipedia.org/wiki/Jacky_Ickx,Jacky,Ickx,1945-01-01,Belgian
lauda,http://en.wikipedia.org/wiki/Niki_Lauda,Niki,Lauda,1949-02-22,Austrian
love,http://en.wikipedia.org/wiki/John_Love_(racing_driver),John,Love,1924-12-07,Rhodesian
marko,http://en.wikipedia.org/wiki/Helmut_Marko,Helmut,Marko,1943-04-27,Austrian
merzario,http://en.wikipedia.org/wiki/Arturo_Merzario,Arturo,Merzario,1943-03-11,Italian
migault,http://en.wikipedia.org/wiki/Fran%C3%A7ois_Migault,François,Migault,1944-12-04,French
oliver,http://en.wikipedia.org/wiki/Jackie_Oliver,Jackie,Oliver,1942-08-14,British
pace,http://en.wikipedia.org/wiki/Carlos_Pace,Carlos,Pace,1944-10-06,Brazilian
pescarolo,http://en.wikipedia.org/wiki/Henri_Pescarolo,Henri,Pescarolo,1942-09-25,French
peterson,http://en.wikipedia.org/wiki/Ronnie_Peterson,Ronnie,Peterson,1944-02-14,Swedish
posey,http://en.wikipedia.org/wiki/Sam_Posey,Sam,Posey,1944-05-26,American
