driverId,url,givenName,familyName,dateOfBirth,nationality
mario_andretti,http://en.wikipedia.org/wiki/Mario_Andretti,Mario,Andretti,1940-02-28,American
arnoux,http://en.wikipedia.org/wiki/Ren%C3%A9_Arnoux,René,Arnoux,1948-07-04,French
binder,http://en.wikipedia.org/wiki/Hans_Binder,Hans,Binder,1948-06-12,Austrian
bleekemolen,http://en.wikipedia.org/wiki/Michael_Bleekemolen,Michael,Bleekemolen,1949-10-02,Dutch
brambilla,http://en.wikipedia.org/wiki/Vittorio_Brambilla,Vittorio,Brambilla,1937-11-11,Italian
cheever,http://en.wikipedia.org/wiki/Eddie_Cheever,Eddie,Cheever,1958-01-10,American
colombo,http://en.wikipedia.org/wiki/Alberto_Colombo,Alberto,Colombo,1946-02-23,Italian
daly,http://en.wikipedia.org/wiki/Derek_Daly,Derek,Daly,1953-03-11,Irish
depailler,http://en.wikipedia.org/wiki/Patrick_Depailler,Patrick,Depailler,1944-08-09,French
villota,http://en.wikipedia.org/wiki/Emilio_de_Villota,Emilio,de Villota,1946-07-26,Spanish
ertl,http://en.wikipedia.org/wiki/Harald_Ertl,Harald,Ertl,1948-08-31,Austrian
emerson_fittipaldi,http://en.wikipedia.org/wiki/Emerson_Fittipaldi,Emerson,Fittipaldi,1946-12-12,Brazilian
gimax,http://en.wikipedia.org/wiki/Gimax,Carlo,Franchi,1938-01-01,Italian
gabbiani,http://en.wikipedia.org/wiki/Beppe_Gabbiani,Beppe,Gabbiani,1957-01-02,Italian
galica,http://en.wikipedia.org/wiki/Divina_Galica,Divina,Galica,1944-08-13,British
giacomelli,http://en.wikipedia.org/wiki/Bruno_Giacomelli,Bruno,Giacomelli,1952-09-10,Italian
hunt,http://en.wikipedia.org/wiki/James_Hunt,James,Hunt,1947-08-29,British
ickx,http://en.wikipedia.org/wiki/Jacky_Ickx,Jacky,Ickx,1945-01-01,Belgian
jabouille,http://en.wikipedia.org/wiki/Jean-Pierre_Jabouille,Jean-Pierre,Jabouille,1942-10-01,French
jarier,http://en.wikipedia.org/wiki/Jean-Pierre_Jarier,Jean-Pierre,Jarier,1946-07-10,French
jones,http://en.wikipedia.org/wiki/Alan_Jones_(Formula_1),Alan,Jones,1946-11-02,Australian
keegan,http://en.wikipedia.org/wiki/Rupert_Keegan,Rupert,Keegan,1955-02-26,British
laffite,http://en.wikipedia.org/wiki/Jacques_Laffite,Jacques,Laffite,1943-11-21,French
lauda,http://en.wikipedia.org/wiki/Niki_Lauda,Niki,Lauda,1949-02-22,Austrian
lees,http://en.wikipedia.org/wiki/Geoff_Lees,Geoff,Lees,1951-05-01,British
leoni,http://en.wikipedia.org/wiki/Lamberto_Leoni,Lamberto,Leoni,1953-05-24,Italian
lunger,http://en.wikipedia.org/wiki/Brett_Lunger,Brett,Lunger,1945-11-14,American
mass,http://en.wikipedia.org/wiki/Jochen_Mass,Jochen,Mass,1946-09-30,German
merzario,http://en.wikipedia.org/wiki/Arturo_Merzario,Arturo,Merzario,1943-03-11,Italian
ongais,http://en.wikipedia.org/wiki/Danny_Ongais,Danny,Ongais,1942-05-21,American
