driverId,url,givenName,familyName,dateOfBirth,nationality
amon,http://en.wikipedia.org/wiki/Chris_Amon,Chris,Amon,1943-07-20,New Zealander
mario_andretti,http://en.wikipedia.org/wiki/Mario_Andretti,Mario,Andretti,1940-02-28,American
attwood,http://en.wikipedia.org/wiki/Richard_Attwood,Richard,Attwood,1940-04-04,British
bell,http://en.wikipedia.org/wiki/Derek_Bell_(auto_racer),Derek,Bell,1941-10-31,British
beltoise,http://en.wikipedia.org/wiki/Jean-Pierre_Beltoise,Jean-Pierre,Beltoise,1937-04-26,French
bonnier,http://en.wikipedia.org/wiki/Joakim_Bonnier,Jo,Bonnier,1930-01-31,Swedish
jack_brabham,http://en.wikipedia.org/wiki/Jack_Brabham,Jack,Brabham,1926-04-02,Australian
brack,http://en.wikipedia.org/wiki/Bill_Brack,Bill,Brack,1935-12-26,Canadian
cordts,http://en.wikipedia.org/wiki/John_Cordts,John,Cordts,1935-07-23,Canadian
courage,http://en.wikipedia.org/wiki/Piers_Courage,Piers,Courage,1942-05-27,British
klerk,http://en.wikipedia.org/wiki/Peter_de_Klerk,Peter,de Klerk,1935-03-16,South African
eaton,http://en.wikipedia.org/wiki/George_Eaton,George,Eaton,1945-11-12,Canadian
elford,http://en.wikipedia.org/wiki/Vic_Elford,Vic,Elford,1935-06-10,British
hill,http://en.wikipedia.org/wiki/Graham_Hill,Graham,Hill,1929-02-15,British
hulme,http://en.wikipedia.org/wiki/Denny_Hulme,Denny,Hulme,1936-06-18,New Zealander
ickx,http://en.wikipedia.org/wiki/Jacky_Ickx,Jacky,Ickx,1945-01-01,Belgian
love,http://en.wikipedia.org/wiki/John_Love_(racing_driver),John,Love,1924-12-07,Rhodesian
lovely,http://en.wikipedia.org/wiki/Pete_Lovely,Pete,Lovely,1926-04-11,American
mclaren,http://en.wikipedia.org/wiki/Bruce_McLaren,Bruce,McLaren,1937-08-30,New Zealander
miles,http://en.wikipedia.org/wiki/John_Miles_(auto_racer),John,Miles,1943-06-14,British
moser,http://en.wikipedia.org/wiki/Silvio_Moser,Silvio,Moser,1941-04-24,Swiss
oliver,http://en.wikipedia.org/wiki/Jackie_Oliver,Jackie,Oliver,1942-08-14,British
pease,http://en.wikipedia.org/wiki/Al_Pease,Al,Pease,1921-10-15,Canadian
rindt,http://en.wikipedia.org/wiki/Jochen_Rindt,Jochen,Rindt,1942-04-18,Austrian
rodriguez,http://en.wikipedia.org/wiki/Pedro_Rodr%C3%ADguez_(racing_driver),Pedro,Rodríguez,1940-01-18,Mexican
gavin,http://en.wikipedia.org/wiki/Johnny_Servoz-Gavin,Johnny,Servoz-Gavin,1942-01-18,French
siffert,http://en.wikipedia.org/wiki/Jo_Siffert,Jo,Siffert,1936-07-07,Swiss
stewart,http://en.wikipedia.org/wiki/Jackie_Stewart,Jackie,Stewart,1939-06-11,British
surtees,http://en.wikipedia.org/wiki/John_Surtees,John,Surtees,1934-02-11,British
tingle,http://en.wikipedia.org/wiki/Sam_Tingle,Sam,Tingle,1921-08-24,Rhodesian
